Project;repoPushed;solcVersion;hasTestDir;testScript;compile;migrate;test;pass;fail
saurfang/solidity-treemap;2018-08-26T23:20:31Z;^0.4.23;true;true;true;true;true;1;20;
yondonfu/sol-baby-jubjub;2018-09-28T13:14:46Z;^0.4.24;true;;false;;;;;
okwme/bonding-curve-generic;2018-12-18T10:31:15Z;^0.4.24;true;true;false;;;;;
LayerXcom/stark-sol;2018-12-04T01:27:59Z;0.4.24;true;;true;true;true;0;1;
cds-blog-code-samples/MarketSample;2019-06-08T21:29:27Z;0.5.0;true;true;true;true;true;22;0;
LanguageNetwork/redistribution_poc;2018-03-19T08:23:40Z;^0.4.19;true;;true;true;false;;;
Strawberry-Pizza/ICO2.0;2018-05-07T08:45:32Z;^0.4.23;true;false;false;;;;;
ValexCrypto/Valex/node_modules/zeppelin-solidity;2018-10-26T20:55:37Z;^0.4.18;true;true;true;true;true;256;22;
ValexCrypto/Valex;2018-10-26T20:55:37Z;^0.4.18;true;false;false;;;;;
decentraland/bid-contract;2019-04-08T19:10:44Z;^0.4.24;true;true;true;true;true;46;0;
okwme/meme-lordz;2018-09-09T08:46:58Z;^0.4.23;true;true;false;;;;;
TicTalk-Foundation/TIC-COIN/token;2018-08-20T04:37:54Z;^0.4.24;true;true;true;true;false;;;
Denton24646/LDelay;2018-08-30T23:38:13Z;^0.4.24;true;true;true;true;true;9;12;
tokenfoundry/securities;2019-01-23T17:56:20Z;^0.5.0;true;true;true;true;true;57;0;
tinchoabbate/ethernaut-ctf;2019-01-18T21:29:21Z;^0.4.24;true;true;true;false;;;;
dsys/multi-contracts;2018-07-11T19:48:21Z;^0.4.24;true;true;true;true;false;;;
nionis/eternal-storage;2018-07-05T11:36:15Z;^0.4.23;true;;true;false;;;;
joewww/deadmanSwitch;2018-09-30T01:23:38Z;^0.4.23;true;;true;true;true;7;1;
SingularityGroup/Purpose;2018-09-25T23:27:37Z;0.4.18;true;true;false;;;;;
keochain/token;2018-08-28T09:47:07Z;0.4.24;true;false;true;true;false;;;
ViRehab/VirtualRehabToken;2019-06-02T19:29:58Z;0.4.24;true;true;true;true;true;29;5;
runningbeta/erc721-holdings;2018-05-04T09:51:37Z;^0.4.23;true;true;true;true;true;81;0;
nionis/solidity-utils;2018-07-05T12:43:18Z;^0.4.23;true;;true;false;;;;
amiromayer/last-pixel;2019-03-31T15:30:44Z;^0.4.24;true;false;true;false;;;;
GovTechSG/private-network/contracts/validator;2018-03-16T06:15:17Z;^0.4.17;true;true;true;false;;;;
CYBRToken/CYBRToken;2019-06-28T12:11:59Z;^0.4.24;true;true;true;true;true;40;14;
gluon-project/gluon-contracts;2018-09-27T10:24:08Z;^0.4.18;true;true;false;;;;;
halonproject/bucketh;2018-10-09T16:27:14Z;^0.4.21;true;true;false;;;;;
KuBitXExchange/KuBitXCrowdsale;2018-11-16T18:31:00Z;^0.4.24;true;true;true;true;true;22;2;
vietlq/ens-namex;2019-05-21T06:12:02Z;0.4.24;true;;false;;;;;
chentschel/nft-lending-contracts;2018-03-26T05:26:23Z;^0.4.21;true;true;true;true;true;1;6;
XORprotocol/xor-external-contract-examples;2018-06-17T03:59:52Z;^0.4.21;true;true;true;true;true;0;2;
PeterMPhillips/liquid-democracy;2018-10-16T08:51:45Z;^0.4.24;true;;true;true;false;;;
nicholashc/MerkleShip/truffle;2019-01-28T09:14:56Z;^0.5.0;true;;true;true;true;9;0;
Ra-Smart/smart-contracts;2019-02-05T14:10:52Z;^0.4.25;true;true;true;false;;;;
kookmin-sw/2018-cap1-29/ethereum;2018-06-01T02:15:58Z;^0.4.18;true;false;true;false;;;;
DaoCasino/dc-contracts;2018-10-24T14:29:08Z;^0.4.24;true;false;false;;;;;
josojo/pederson_hash_estimations;2018-10-01T16:11:13Z;^0.4.24;true;;false;;;;;
GrapevineWorld/crowdsale-contracts;2018-09-20T13:45:16Z;^0.4.23;true;true;false;;;;;
bin-studio/new-models-contracts;2018-06-21T11:56:59Z;^0.4.21;true;true;false;;;;;
payvint/UpgradeableStorage;2018-09-09T09:43:05Z;^0.4.24;true;;true;false;;;;
DucaturFw/ether-schnorr-verification;2018-08-30T13:44:38Z;^0.4.24;true;true;false;;;;;
parity-contracts/block-reward;2018-08-21T14:23:29Z;^0.4.24;true;true;true;true;true;1;2;
nionis/airdroppers;2018-02-27T18:08:01Z;0.4.19;true;;true;true;true;0;6;
pbrudny/flotea-blockchain;2018-07-18T15:29:23Z;0.4.24;true;true;false;;;;;
Etheraffle/Solidity;2018-07-08T09:29:07Z;^0.4.24;true;;true;false;;;;
ChainSecurity/feeless_attack;2018-09-17T06:42:10Z;^0.4.24;true;;true;true;false;;;
Acceptio/fulcrum-token;2018-11-20T08:42:29Z;^0.4.24;true;true;true;true;true;39;13;
chaitanyapotti/MembershipVerificationToken;2019-07-14T00:29:28Z;^0.4.25;true;true;true;true;true;17;0;
alesanro/SidechainAtomicSwap;2018-04-20T16:41:53Z;^0.4.21;true;false;true;true;false;;;
t4sk/solidity-by-example/big-number;2019-01-30T00:17:08Z;^0.4.23;true;true;true;true;true;1;1;
t4sk/solidity-by-example/testing/simple-storage;2019-01-30T00:17:08Z;^0.4.23;true;true;true;true;true;1;0;
everchain-project/recurring-transactions;2019-05-14T22:40:09Z;^0.5.0;true;;true;false;;;;
decentraland/land-auction;2019-01-03T17:54:17Z;^0.4.24;true;true;true;true;true;60;1;
ripio/rcn-commons;2018-10-22T18:38:07Z;^0.4.24;true;true;true;false;;;;
yudetamago/loom_contract;2018-08-11T09:18:07Z;^0.4.23;true;false;true;true;true;1;3;
jackleslie/SimpleCoin;2018-04-03T10:37:33Z;0.4.21;true;;true;true;true;3;0;
Onther-Tech/requestable-simple-token;2019-05-07T08:33:13Z;^0.4.24;true;true;true;true;true;3;8;
wechain/satisfaction-protocol;2018-08-01T09:40:02Z;^0.4.23;true;true;false;;;;;
BlockvisLabs/blockvis-solidity;2018-05-22T06:48:26Z;^0.4.23;true;true;true;true;false;;;
peara/pce/root_chain;2018-05-29T09:17:13Z;^0.4.23;true;true;true;true;true;3;1;
shaddow1201/CredentialVerify_old;2018-08-18T03:06:30Z;^0.4.23;true;;true;false;;;;
runningbeta/tolar;2018-09-28T23:11:01Z;0.4.24;true;true;true;true;true;164;0;
BlockchainLabsNZ/beam-customcrowdsale-audit;2018-09-13T05:38:34Z;0.4.24;true;false;true;false;;;;
Tomislav27/Workshop;2018-12-14T15:53:20Z;^0.4.20;true;true;false;;;;;
qtds35k/EthAuctionSmartContracts;2019-01-19T22:19:44Z;^0.4.18;true;;false;;;;;
HAECHI-LABS/vvisp-sample;2019-07-01T06:17:52Z;^0.5.0;true;true;true;true;false;;;
thomashin/Sweeper;2018-06-25T02:37:04Z;^0.4.24;true;false;true;true;false;;;
nionis/generic-storage;2018-04-30T18:08:58Z;^0.4.19;true;;true;false;;;;
william2958/aragonOS-demo;2018-04-27T14:13:49Z;0.4.18;true;true;false;;;;;
mkepec/block2018-workshop2;2018-12-14T15:40:05Z;^0.4.20;true;true;false;;;;;
MyBitFoundation/MyBit-Trust.tech;2019-02-26T05:26:27Z;^0.4.24;true;true;true;false;;;;
rstormsf/selfdrop;2018-10-16T07:59:25Z;0.4.25;true;false;false;;;;;
stayreal0327/solidity/github.com/OpenZeppelin/openzeppelin-solidity;2018-08-30T16:00:36Z;^0.4.24;true;true;true;false;;;;
toneloc/clone-factory;2018-05-12T16:15:45Z;0.4.23;true;true;true;false;;;;
mohandeath/InvoiceManagementDapp;2019-01-16T09:31:27Z;^0.4.17;true;;true;true;false;;;
bertiespell/onepercent-project;2019-06-13T03:41:30Z;^0.4.24;true;true;true;true;false;;;
633kh4ck/ENQ-ICO;2019-06-13T18:06:31Z;0.4.24;true;true;false;;;;;
cseale/patrecoin/smart-contracts;2018-02-14T02:25:44Z;^0.4.17;true;true;true;true;true;1;3;
gogolevdms/beam-contracts-audit;2018-08-15T04:35:19Z;0.4.24;true;false;true;true;false;;;
kette-io/nft-asset-registry-smart-contracts;2019-05-14T21:09:43Z;^0.5.2;true;true;false;;;;;
noia-network/noia-token;2019-07-09T06:42:47Z;0.5.10;true;true;true;true;true;60;0;
miktamsol/eth-nmx;2018-08-22T19:20:10Z;^0.4.24;true;true;true;false;;;;
r0flc0pt4/contracts;2018-10-15T08:51:59Z;^0.4.24;true;;true;true;false;;;
34x4p08/SomeToken;2018-07-23T18:38:13Z;0.4.24;true;false;true;true;false;;;
UrosZivkovic/y4/learning-solidity-master/learning-solidity-master/tutorial-22;2019-03-17T14:46:55Z;^0.4.17;true;;true;false;;;;
UrosZivkovic/y4/learning-solidity-master/learning-solidity-master/tutorial-26;2019-03-17T14:46:55Z;^0.4.17;true;;true;true;true;6;0;
adria0/gometh-contracts;2018-03-30T18:02:09Z;^0.4.18;true;false;true;true;true;0;4;
riusricardo/Lighthouse;2019-05-14T22:06:08Z;0.4.24;true;true;true;true;false;;;
chaitanyapotti/Action;2019-07-14T00:27:42Z;^0.4.25;true;true;true;true;true;4;0;
civilman2006/McFly-sc-2.1.2;2018-03-30T19:02:54Z;^0.4.19;true;false;false;;;;;
parity-contracts/secretstore-acl;2018-04-26T12:27:39Z;^0.4.18;true;true;true;true;true;6;0;
auras-ethereum-gaming/ico/node_modules/zeppelin-solidity;2018-04-29T00:37:47Z;^0.4.18;true;true;true;true;true;722;18;
joenyzio/2chains/examples/humanize-master;2018-12-08T02:07:23Z;^0.4.24;true;true;true;true;true;5;4;
joenyzio/2chains/examples/supplychain-master;2018-12-08T02:07:23Z;^0.4.23;true;;true;true;false;;;
IlgizZ/emploreum_smart_contracts;2018-06-12T13:08:05Z;^0.4.17;true;true;false;;;;;
saurfang/capture-the-ether;2018-04-15T07:53:15Z;^0.4.21;true;true;true;true;true;0;3;
LootSafe/LootSafe.Vault.contract;2018-05-03T23:47:18Z;^0.4.18;true;;false;;;;;
gongf05/equilibrium-bonding-curve;2018-09-14T14:37:15Z;^0.4.24;true;false;true;true;true;2;0;
Block42World/cubik-contracts;2018-08-28T07:26:45Z;^0.4.24;true;true;true;false;;;;
gyng/truffle-dev-ci;2018-02-14T02:51:13Z;^0.4.17;true;true;true;false;;;;
